fundName,date,value,moneda,name_in_interfondos
IF Libre Disponibilidad Soles FMIV,07/05/2015,100.1808,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,08/05/2015,100.1869,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,09/05/2015,100.1913,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,10/05/2015,100.1957,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,11/05/2015,100.1997,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,12/05/2015,100.2048,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,13/05/2015,100.2094,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,14/05/2015,100.2138,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,15/05/2015,100.2203,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,16/05/2015,100.2267,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,17/05/2015,100.2331,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,18/05/2015,100.2392,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,19/05/2015,100.2455,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,20/05/2015,100.2518,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,21/05/2015,100.2583,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,22/05/2015,100.265,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,23/05/2015,100.2716,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,24/05/2015,100.2784,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,25/05/2015,100.2855,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,26/05/2015,100.291,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,27/05/2015,100.2963,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,28/05/2015,100.3021,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,29/05/2015,100.3113,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,30/05/2015,100.3183,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,31/05/2015,100.3254,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,01/06/2015,100.3323,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,02/06/2015,100.3392,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,03/06/2015,100.3448,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,04/06/2015,100.3516,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,05/06/2015,100.3571,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,06/06/2015,100.364,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,07/06/2015,100.3716,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,08/06/2015,100.3793,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,09/06/2015,100.3859,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,10/06/2015,100.3928,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,11/06/2015,100.3991,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,12/06/2015,100.4009,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,13/06/2015,100.4085,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,14/06/2015,100.4167,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,15/06/2015,100.4249,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,16/06/2015,100.429,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,17/06/2015,100.435,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,18/06/2015,100.4412,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,19/06/2015,100.4475,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,20/06/2015,100.4541,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,21/06/2015,100.4607,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,22/06/2015,100.4677,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,23/06/2015,100.4744,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,24/06/2015,100.4803,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,25/06/2015,100.4863,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,26/06/2015,100.4917,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,27/06/2015,100.4971,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,28/06/2015,100.5027,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,29/06/2015,100.5083,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,30/06/2015,100.5158,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,01/07/2015,100.5222,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,02/07/2015,100.5285,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,03/07/2015,100.5355,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,04/07/2015,100.5418,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,05/07/2015,100.548,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,06/07/2015,100.5543,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,07/07/2015,100.5603,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,08/07/2015,100.5669,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,09/07/2015,100.5736,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,10/07/2015,100.5802,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,11/07/2015,100.5863,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,12/07/2015,100.5927,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,13/07/2015,100.5991,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,14/07/2015,100.6059,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,15/07/2015,100.6129,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,16/07/2015,100.6194,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,17/07/2015,100.6249,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,18/07/2015,100.6323,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,19/07/2015,100.6397,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,20/07/2015,100.647,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,21/07/2015,100.6538,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,22/07/2015,100.6599,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,23/07/2015,100.6667,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,24/07/2015,100.6738,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,25/07/2015,100.681,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,26/07/2015,100.6882,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,27/07/2015,100.6954,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,28/07/2015,100.7026,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,29/07/2015,100.7098,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,30/07/2015,100.7169,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,31/07/2015,100.7255,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,01/08/2015,100.7327,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,02/08/2015,100.7402,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,03/08/2015,100.7479,Soles,IF Libre Disponibilidad Soles FMIV-A
IF Libre Disponibilidad Soles FMIV,04/08/2015,100.7552,Soles,IF Libre Disponibilidad Soles FMIV-A
